alphaChange,predictionLambda1,rStar1,predictionLambda2,rStar2,btLambda1Upper,btLambda1Lower,btLambda2Upper,btLambda2Lower
0.01,3.75,3.94575687348923,3.85852090032154,3.72152912995364,3.6616301,3.65800975,3.268202,3.26371785
0.02,7.27272727272727,7.16161034404234,7.47663551401869,7.44804185624574,3.72077605,3.7178699,3.298738,3.29458995
0.03,10.5882352941176,10.4698650406732,10.8761329305136,10.9793620928828,3.577414,3.57366195,3.247924,3.24354195
0.04,13.7142857142857,13.8014690625389,14.0762463343109,14.3345998752335,3.630998,3.62774995,3.27943415,3.2752319
0.05,16.6666666666667,16.8741898612217,17.0940170940171,17.7327170801235,3.52061805,3.516738,3.22656205,3.222114
0.06,19.4594594594595,19.8470281472531,19.9445983379501,20.1287707208035,3.56823005,3.56482195,3.25742205,3.253188
0.07,22.1052631578947,21.8839076875911,22.6415094339623,22.7271681728466,3.473344,3.46932195,3.2080901,3.20356595
0.08,24.6153846153846,24.5825348037908,25.1968503937008,25.5620379888425,3.520094,3.516508,3.24075215,3.23645595
0.09,27,26.740435249282,27.6214833759591,28.1498813776756,3.43444,3.430366,3.18801605,3.18345785
0.1,29.2682926829268,29.1519755638175,29.925187032419,30.4735753554658,3.47637405,3.472628,3.218374,3.21404595
0.11,31.4285714285714,31.4267877841344,32.1167883211679,32.0466589158205,3.39921,3.39500195,3.170176,3.16555395
0.12,33.4883720930233,33.4876029248543,34.2042755344418,33.9400159182175,3.439338,3.43548985,3.20018805,3.19581375
0.13,35.4545454545455,35.4297093166934,36.1948955916473,35.5831331146643,3.3706901,3.36653,3.15445605,3.149854
0.14,37.3333333333333,38.0612076187645,38.0952380952381,38.0683696046983,3.406996,3.403004,3.18166605,3.17719
0.15,39.1304347826087,39.2606041148775,39.9113082039911,39.8966296204524,3.34066215,3.336446,3.1389521,3.13428795
0.16,40.8510638297872,40.7894471601154,41.648590021692,41.8102649239405,3.375508,3.371552,3.16685005,3.16240395
0.17,42.5,42.9722521144635,43.312101910828,43.3043264994024,3.315122,3.31079195,3.12465,3.1199419
0.18,44.0816326530612,43.9619050994822,44.9064449064449,45.2328702155986,3.350374,3.34626995,3.149296,3.14481975
0.19,45.6,45.7341808894898,46.4358452138493,46.4964606315514,3.28888,3.284564,3.10718,3.10255
0.2,47.0588235294118,46.671923201547,47.9041916167665,46.5593793814929,3.32427825,3.32010195,3.13430805,3.129842
